City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,beinamar,7.9396,15.5878,295.4,49,27,1.75,TD,1700706892
207,shahrud,34.7972,55.6452,280.02,40,4,2.78,IR,1700706896
208,tumayr,25.2413,46.0073,287.7,53,7,2.64,SA,1700706901
209,tshikapa,-7.0983,20.6045,293.71,99,100,1.87,CD,1700706905
210,chiroqchi,39.2629,66.6473,278.33,75,1,0.85,UZ,1700706943
211,bukama,-9.1278,26.6106,290.43,96,99,0.87,CD,1700706944
212,selkirk,51.5346,-96.1163,263.17,53,8,3.92,CA,1700706950
213,ban phe,12.2449,101.4379,300.69,72,100,3.7,TH,1700706953
214,illela,14.6359,4.6028,295.97,23,78,0.57,NE,1700706958
215,harrisonburg,38.6123,-78.9039,279.53,84,75,0.0,US,1700706960
216,tabas,33.7654,55.1632,279.06,31,7,0.77,IR,1700706967
217,salalah,17.8605,54.1051,294.89,61,23,2.07,OM,1700706980
218,kapuskasing,49.4043,-84.874,270.09,94,100,2.47,CA,1700706983
219,ulladulla,-35.7612,150.0193,297.41,63,100,3.66,AU,1700706990
220,malvan,16.2957,72.6388,301.74,64,74,4.86,IN,1700706992
221,taiohae,-14.1729,-139.3711,300.47,74,33,5.41,PF,1700706994
222,yakoruda,42.0777,23.6931,277.27,99,100,1.73,BG,1700706997
223,marsa alam,24.2334,35.9422,299.01,61,0,4.03,EG,1700707003
224,arroyo seco,-33.3692,-60.7756,291.38,41,30,3.86,AR,1700707004
225,sao joao da barra,-22.6372,-40.2772,297.85,82,59,13.44,BR,1700707013
226,boryspil',50.4593,31.0973,267.57,68,67,2.25,UA,1700707028
227,fuling,29.0534,108.185,287.08,81,82,0.75,CN,1700707033
228,smirnovo,54.2864,69.121,274.8,94,99,5.97,KZ,1700707037
229,yellowknife,79.0973,-104.7046,249.84,97,100,7.37,CA,1700707049
230,greenwood,35.0292,-94.3572,278.01,57,0,1.26,US,1700707056
231,nago,26.8853,127.8452,296.34,64,12,3.88,JP,1700707058
232,amahai,-2.8887,130.5741,301.92,75,100,2.73,ID,1700707063
233,oualidia,32.6684,-9.2915,291.17,61,11,5.36,MA,1700707069
234,susuman,62.9792,148.4179,249.83,97,100,2.29,RU,1700707078
235,manali,32.8029,78.6603,263.21,24,0,2.32,CN,1700707089
236,itupiranga,-5.3622,-49.7383,295.15,99,97,0.54,BR,1700707090
237,korsholm,64.013,21.5198,274.46,80,17,7.88,SE,1700707092
238,lewiston orchards,46.4405,-116.6579,280.61,92,100,1.07,US,1700707102
239,that phanom,16.9297,105.0952,301.44,56,93,4.18,TH,1700707106
